"A","ID_PERSONA","ID","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO","EDAT"
"177",1723622,1723622.1,2,0,1,0,1,0,1,50
"178",1723664,1723664.3,2,1,0,0,1,1,3,45
"179",1723664,1723664.3,2,1,0,0,1,1,3,45
"180",1723664,1723664.3,2,1,0,0,1,1,3,45
"181",1724985,1724985.1,2,1,0,0,1,0,1,43
"182",1726291,1726291.2,2,1,0,0,1,0,2,60
"183",1726291,1726291.2,2,1,0,0,1,0,2,60
"184",1729667,1729667.2,3,1,0,2,6,1,2,65
"185",1729667,1729667.2,3,1,0,2,6,1,2,65
"186",1730461,1730461.1,3,0,0,1,1,0,1,44
"187",1732942,1732942.1,3,0,0,1,1,0,1,35
"188",1736384,1736384.2,3,0,0,0,1,1,2,37
"189",1736384,1736384.2,3,0,0,0,1,1,2,37
"190",1736384,1736384.2,3,0,0,0,1,1,2,37
"191",1738839,1738839.2,3,0,0,0,0,0,2,40
"192",1738839,1738839.2,3,0,0,0,0,0,2,40
"193",1740657,1740657.2,2,1,0,0,1,0,2,39
"194",1740657,1740657.2,2,1,0,0,1,0,2,39
"195",1740740,1740740.2,3,1,0,0,1,0,2,38
"196",1740740,1740740.2,3,1,0,0,1,0,2,38
"197",1742788,1742788.1,2,1,0,1,1,0,1,39
"198",1743835,1743835.2,2,0,0,2,5,0,2,33
"199",1743835,1743835.2,2,0,0,2,5,0,2,33
"200",1748892,1748892.1,2,1,1,0,1,0,1,54
"201",1750181,1750181.2,3,0,0,2,1,0,2,49
"202",1750181,1750181.2,3,0,0,2,1,0,2,49
"203",1753696,1753696.2,3,1,0,2,1,0,2,41
"204",1753696,1753696.2,3,1,0,2,1,0,2,41
"205",1765647,1765647.2,3,1,0,2,1,0,2,63
"206",1765647,1765647.2,3,1,0,2,1,0,2,63
"207",1766565,1766565.2,2,0,0,2,4,0,2,45
"208",1766565,1766565.2,2,0,0,2,4,0,2,45
"209",1766893,1766893.1,3,1,0,0,1,0,1,37
"210",1774268,1774268.1,2,0,1,0,3,0,1,58
"211",1784586,1784586.2,3,1,0,2,1,0,2,41
"212",1784586,1784586.2,3,1,0,2,1,0,2,41
"213",1786507,1786507.1,3,0,0,1,1,0,1,30
"214",1789150,1789150.2,2,0,0,2,1,0,2,57
"215",1789150,1789150.2,2,0,0,2,1,0,2,57
"216",1790622,1790622.4,2,1,0,5,1,0,4,53
"217",1790622,1790622.4,2,1,0,5,1,0,4,53
"218",1790622,1790622.4,2,1,0,5,1,0,4,53
"219",1790622,1790622.4,2,1,0,5,1,0,4,53
"220",1790622,1790622.4,2,1,0,5,1,0,4,53
"221",1792416,1792416.1,2,0,0,1,1,0,1,33
"222",1793249,1793249.2,3,1,0,2,1,0,2,55
"223",1793249,1793249.2,3,1,0,2,1,0,2,55
"224",1797974,1797974.1,2,1,0,0,1,0,1,61
"225",1801981,1801981.1,3,1,0,1,1,1,1,43
"226",1804649,1804649.1,2,0,0,1,1,1,1,37
"227",1807211,1807211.2,3,1,0,0,2,0,2,35
"228",1807211,1807211.2,3,1,0,0,2,0,2,35
"229",1808243,1808243.1,3,1,0,1,5,0,1,57
"230",1816277,1816277.2,2,1,0,0,1,0,2,41
"231",1816277,1816277.2,2,1,0,0,1,0,2,41
"232",1817870,1817870.1,3,1,0,1,1,0,1,55
"233",1819311,1819311.1,3,0,0,1,1,0,1,41
"234",1822026,1822026.2,2,0,0,2,1,0,2,40
"235",1822026,1822026.2,2,0,0,2,1,0,2,40
"236",1834897,1834897.2,3,0,2,2,1,1,2,35
"237",1834897,1834897.2,3,0,2,2,1,1,2,35
"238",1838469,1838469.1,3,0,1,0,1,0,1,54
"239",1848895,1848895.1,3,1,0,0,0,0,1,35
"240",1852731,1852731.2,3,1,0,2,1,0,2,50
"241",1852731,1852731.2,3,1,0,2,1,0,2,50
"242",1855715,1855715.3,3,1,0,3,1,0,3,50
"243",1855715,1855715.3,3,1,0,3,1,0,3,50
"244",1855715,1855715.3,3,1,0,3,1,0,3,50
"245",1860133,1860133.2,3,1,0,0,6,0,2,40
