"A","ID","ID_PERSONA","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO"
"1095",6527758.1,6527758,3,0,0,1,1,1,1
"1096",6527767.1,6527767,3,0,0,1,1,0,1
"1097",6527831.1,6527831,3,1,0,0,1,1,1
"1098",6527911.1,6527911,3,0,0,0,0,0,1
"1099",6528427.1,6528427,3,1,0,1,1,1,1
"1100",6528764.1,6528764,3,1,0,0,1,1,1
"1101",6529944.1,6529944,3,1,0,1,1,0,1
"1102",6532611.1,6532611,3,0,0,1,1,1,1
"1103",6533349.1,6533349,3,1,0,1,1,0,1
"1104",6533369.1,6533369,3,0,0,1,6,0,1
"1105",6533749.1,6533749,3,1,0,1,1,1,1
"1106",6533955.1,6533955,3,0,0,1,1,1,1
"1107",6534617.1,6534617,3,0,0,1,1,0,1
"1108",6535378.1,6535378,3,1,0,1,1,0,1
"1109",6535716.1,6535716,3,0,0,1,1,0,1
"1110",6535929.1,6535929,3,1,0,1,1,0,1
"1111",6536654.1,6536654,2,1,0,0,1,0,1
"1112",6537913.1,6537913,3,0,0,0,3,0,1
"1113",6537913.1,6537913,3,0,0,0,3,0,1
"1114",6538751.1,6538751,3,0,0,1,1,1,1
"1115",6539439.1,6539439,3,0,0,1,5,0,1
"1116",6539736.1,6539736,3,0,0,1,1,0,1
"1117",6540054.1,6540054,3,0,1,0,5,0,1
"1118",6540326.1,6540326,2,1,0,0,1,0,1
"1119",6540415.1,6540415,3,0,0,0,0,1,1
"1120",6540450.1,6540450,2,1,0,0,1,0,1
"1121",6541567.1,6541567,3,0,0,0,1,0,1
"1122",6541748.1,6541748,3,0,0,0,1,1,1
"1123",6541913.1,6541913,3,0,0,1,1,1,1
"1124",6546405.1,6546405,3,1,0,1,1,0,1
"1125",6546714.1,6546714,3,0,0,0,1,1,1
"1126",6546768.1,6546768,3,0,0,0,1,1,1
"1127",6546897.1,6546897,3,1,0,0,1,0,1
"1128",6547004.1,6547004,3,1,0,0,1,0,1
"1129",6547158.1,6547158,3,1,0,0,1,0,1
"1130",6547194.1,6547194,3,0,0,1,1,0,1
"1131",6550300.1,6550300,3,0,0,0,1,1,1
"1132",6551013.1,6551013,3,0,0,1,1,0,1
"1133",6551362.1,6551362,3,0,0,1,1,0,1
"1134",6551436.1,6551436,3,0,0,1,1,0,1
"1135",6552096.1,6552096,3,0,0,1,1,1,1
"1136",6559590.1,6559590,3,0,0,1,1,0,1
"1137",6561335.1,6561335,3,0,0,1,1,1,1
"1138",6563751.1,6563751,3,0,0,1,1,0,1
"1139",6564169.1,6564169,3,0,0,1,5,0,1
"1140",6565284.1,6565284,3,0,0,0,1,0,1
"1141",6568635.1,6568635,3,0,0,0,1,0,1
"1142",6568842.1,6568842,3,1,0,1,1,0,1
"1143",6569361.1,6569361,3,1,0,0,1,1,1
"1144",6572581.1,6572581,3,0,0,0,3,1,1
"1145",6572700.1,6572700,3,0,0,1,5,0,1
"1146",6573376.1,6573376,3,0,1,0,1,0,1
"1147",6574092.1,6574092,3,0,0,1,1,0,1
"1148",6574363.1,6574363,3,1,0,1,1,0,1
"1149",6577371.1,6577371,3,0,0,0,1,0,1
"1150",6579532.1,6579532,3,0,0,1,1,0,1
"1151",6579703.1,6579703,3,0,0,1,1,1,1
"1152",6580597.1,6580597,3,0,0,1,1,0,1
"1153",6581463.1,6581463,3,0,0,1,1,1,1
"1154",6588833.1,6588833,3,1,0,1,1,0,1
"1155",6592000.1,6592000,3,0,0,0,1,0,1
"1156",6599867.1,6599867,2,1,0,0,1,0,1
"1157",6605123.1,6605123,3,1,1,0,1,0,1
"1158",6605172.1,6605172,3,1,0,0,1,0,1
"1159",6606131.1,6606131,3,1,0,0,1,0,1
"1160",6610345.1,6610345,3,1,0,1,1,0,1
"1161",6616820.1,6616820,3,0,0,1,1,1,1
"1162",6621021.1,6621021,2,0,0,0,0,0,1
"1163",6621068.1,6621068,2,0,0,0,0,1,1
"1164",6621087.1,6621087,2,0,0,0,0,1,1
"1165",6621290.1,6621290,3,1,0,0,1,0,1
"1166",6621314.1,6621314,3,1,0,0,1,0,1
"1167",6656087.1,6656087,3,1,0,0,0,0,1
"1168",6730100.1,6730100,3,1,0,0,1,0,1
"1169",6738607.1,6738607,3,1,0,0,1,1,1
"1170",6755689.1,6755689,3,1,0,0,1,0,1
"1171",6793146.1,6793146,3,1,0,0,1,0,1
"1172",6931468.1,6931468,2,0,0,0,1,0,1
"1173",7315732.1,7315732,3,0,0,0,5,0,1
"1174",7367412.1,7367412,3,1,0,0,1,0,1
"1175",7382851.1,7382851,3,0,0,0,1,0,1
"1176",8660312.1,8660312,3,1,0,0,1,0,1
